NUTS2,affo rate (t/ha/y),Source
TR51,3.3986092878555936,avg nuts0 (from NUTS2)
TR52,3.3986092878555936,avg nuts0 (from NUTS2)
TR61,3.3986092878555936,avg nuts0 (from NUTS2)
TR62,3.3986092878555936,avg nuts0 (from NUTS2)
TR63,3.3986092878555936,avg nuts0 (from NUTS2)
TR71,3.3986092878555936,avg nuts0 (from NUTS2)
TR72,3.3986092878555936,avg nuts0 (from NUTS2)
TR81,3.3986092878555936,avg nuts0 (from NUTS2)
TR82,3.3986092878555936,avg nuts0 (from NUTS2)
TR83,3.3986092878555936,avg nuts0 (from NUTS2)
TR90,3.3986092878555936,avg nuts0 (from NUTS2)
TRA1,3.3986092878555936,avg nuts0 (from NUTS2)
TRA2,3.3986092878555936,avg nuts0 (from NUTS2)
TRB1,3.3986092878555936,avg nuts0 (from NUTS2)
TRB2,3.3986092878555936,avg nuts0 (from NUTS2)
TRC1,3.3986092878555936,avg nuts0 (from NUTS2)
TRC2,3.3986092878555936,avg nuts0 (from NUTS2)
TRC3,3.3986092878555936,avg nuts0 (from NUTS2)
UKC1,3.480997533458953,nearest within UK
UKC2,3.480997533458953,nearest within UK
UKD1,3.480997533458953,nearest within UK
UKD3,3.480997533458953,nearest within UK
UKD4,3.480997533458953,nearest within UK
UKD6,3.480997533458953,nearest within UK
UKD7,3.480997533458953,nearest within UK
UKE1,3.480997533458953,nearest within UK
UKE2,3.480997533458953,nearest within UK
UKE3,3.480997533458953,nearest within UK
UKE4,3.480997533458953,nearest within UK
UKF1,3.480997533458953,nearest within UK
UKF2,3.480997533458953,nearest within UK
UKF3,3.480997533458953,nearest within UK
UKG1,3.480997533458953,nearest within UK
UKG2,3.480997533458953,nearest within UK
UKG3,3.480997533458953,nearest within UK
UKH1,3.480997533458953,nearest within UK
UKH2,3.480997533458953,nearest within UK
UKH3,3.480997533458953,nearest within UK
UKI3,3.480997533458953,nearest within UK
UKI4,3.480997533458953,nearest within UK
UKI5,3.480997533458953,nearest within UK
UKI6,3.480997533458953,nearest within UK
UKI7,3.480997533458953,nearest within UK
UKJ1,3.480997533458953,nearest within UK
UKJ2,3.480997533458953,nearest within UK
UKJ3,3.480997533458953,nearest within UK
UKJ4,3.480997533458953,nearest within UK
UKK1,3.480997533458953,nearest within UK
UKK2,3.480997533458953,nearest within UK
UKK3,3.480997533458953,nearest within UK
UKK4,3.480997533458953,nearest within UK
UKL1,3.480997533458953,nearest within UK
UKL2,3.480997533458953,nearest within UK
UKM2,3.480997533458953,nearest within UK
UKM3,3.480997533458953,nearest within UK
UKM5,3.480997533458953,nearest within UK
UKM6,3.480997533458953,nearest within UK
UKN0,3.480997533458953,avg nuts2 near
