NUTS2,CO2 seq rate tCO2/(ha y),density tCO2/ha,rotation_age_years,Source
HU10,4.352655504680504,204.15908333333329,46.90448925117015,HU→NUTS0
HU21,4.352655504680504,204.15908333333329,46.90448925117015,HU→NUTS0
HU22,4.352655504680504,204.15908333333329,46.90448925117015,HU→NUTS0
FI1D,2.390375801282051,155.37442708333333,65.0,FI→country (Pilli)
FR51,4.587340658068783,147.71596354166667,32.20078353715579,direct
HU23,4.352655504680504,204.15908333333329,46.90448925117015,HU→NUTS0
HU31,4.352655504680504,204.15908333333329,46.90448925117015,HU→NUTS0
IS00,2.903575359931633,215.649507843502,76.60714285714286,NO avg (Iceland proxy)
ITC1,4.22593755091049,250.96044849537031,59.38574469499678,direct
FI20,2.390375801282051,155.37442708333333,65.0,FI→country (Pilli)
HU32,4.352655504680504,204.15908333333329,46.90448925117015,HU→NUTS0
HU33,4.352655504680504,204.15908333333329,46.90448925117015,HU→NUTS0
ITC2,3.954744444444444,296.6058333333333,75.0,direct
ITC3,5.3660912134751,272.6480338541666,50.80942962160324,direct
ITF1,4.14592874791617,279.2185763888889,67.34765437761803,direct
ITF2,5.0809786553290905,326.7157552083333,64.30173739574039,direct
FR10,3.6378766325536063,151.81489583333334,41.73173286713874,direct
FR21,4.15237871588694,171.43098958333331,41.285008259829695,direct
FR52,4.7497016038359785,164.61643229166665,34.65826824967663,direct
FR53,3.1932540900863273,113.52435416666667,35.55130627378218,direct
ITC4,6.489117530739241,273.70100694444443,42.17846350415299,direct
FR22,4.028093502274204,143.07104166666664,35.51830204186938,direct
FR23,4.190025,134.98375000000001,32.21549990751845,direct
ITF5,5.8808343660279565,349.70521093749994,59.46523727273388,direct
FR61,3.106216291423002,111.31197916666665,35.835231266420614,direct
IE01,2.2121227826510723,191.66086805555554,86.64115281425002,IE→NUTS0
BE35,3.4506335891812863,230.7588020833333,66.87432789352874,BE3→NUTS1
BG31,5.906312222222221,217.4099583333333,36.80976388537988,BG→NUTS0
BG32,5.906312222222221,217.4099583333333,36.80976388537988,BG→NUTS0
CH03,5.185804364376555,296.7141551752645,56.93432496274984,avg neighbours (100km)
CH04,5.272400441197859,313.26539430708175,59.53478373838361,avg neighbours (100km)
CH05,5.420204830858308,319.6636278110139,59.54417046153953,avg neighbours (100km)
DEF0,4.924322790975364,331.89692708333337,67.39950672843571,DEF→NUTS1
DEG0,4.7633310356278145,359.18122395833336,75.40547177422715,DEG→NUTS1
DK01,5.060341203703703,379.5255902777777,75.0,direct
DK03,4.943065162037037,370.7298871527778,75.0,direct
CH06,5.028961345762039,284.9650428630357,56.61473210402143,avg neighbours (100km)
