country,region,nuts2,forest_type,con_broad,mgmt_type,rotation_age,mai_vol_m3_ha_yr,bcef,mai_co2_tCO2_ha_yr,density_tCO2_ha
IT,To,ITI1,BP,broad,H,55,8.012727272727272,0.46,8.446749999999998,464.5712499999999
IT,Um,ITI2,BP,broad,H,55,2.1036363636363635,0.45,2.1693749999999996,119.31562499999998
IT,Ve,ITH3,BP,broad,H,55,5.794545454545454,0.45,5.975624999999999,328.65937499999995
IT,Ab,ITF1,CP,con,H,55,1.029090909090909,0.45,1.06125,58.36875
IT,Ba,ITF5,CP,con,H,55,2.6163636363636367,0.45,2.6981250000000006,148.39687500000002
IT,Cal,ITF6,CP,con,H,55,7.2309090909090905,0.46,7.622583333333333,419.2420833333333
IT,Cam,ITF3,CP,con,H,55,3.6763636363636363,0.45,3.7912499999999993,208.51874999999995
IT,ER,ITH5,CP,con,H,55,3.785454545454545,0.45,3.9037499999999996,214.70624999999998
IT,FVG,ITH4,CP,con,H,55,3.7181818181818183,0.45,3.8343750000000005,210.89062500000003
IT,La,ITI4,CP,con,H,55,3.1763636363636363,0.45,3.275625,180.15937499999998
IT,Li,ITC3,CP,con,H,55,2.2781818181818183,0.45,2.3493749999999998,129.215625
IT,Lo,ITC4,CP,con,H,45,3.486666666666667,0.45,3.595625,161.803125
IT,Ma,ITI3,CP,con,H,55,1.2181818181818183,0.45,1.25625,69.09375
IT,Mo,ITF2,CP,con,H,45,0.9022222222222223,0.46,0.9510925925925926,42.799166666666665
IT,Pi,ITC1,CP,con,H,55,3.8836363636363633,0.45,4.004999999999999,220.27499999999995
IT,Pu,ITF4,CP,con,H,45,3.673333333333334,0.45,3.7881250000000004,170.46562500000002
IT,Sa,ITG2,CP,con,H,55,2.003636363636364,0.45,2.06625,113.64375000000001
IT,Si,ITG1,CP,con,H,55,1.8581818181818182,0.45,1.9162499999999998,105.39374999999998
IT,To,ITI1,CP,con,H,55,8.012727272727272,0.46,8.446749999999998,464.5712499999999
IT,Um,ITI2,CP,con,H,55,2.1036363636363635,0.45,2.1693749999999996,119.31562499999998
IT,Ve,ITH3,CP,con,H,55,5.794545454545454,0.45,5.975624999999999,328.65937499999995
IT,AA,ITH1,CS,broad,H,25,14.588,0.52,17.38403333333333,434.6008333333333
IT,Ab,ITF1,CS,broad,H,25,5.96,0.56,7.648666666666667,191.21666666666667
IT,Cal,ITF6,CS,broad,H,25,7.62,0.55,9.604375000000001,240.10937500000003
IT,FVG,ITH4,CS,broad,H,25,14.504000000000001,0.52,17.283933333333334,432.09833333333336
IT,La,ITI4,CS,broad,H,25,11.395999999999999,0.53,13.841391666666667,346.03479166666665
IT,Li,ITC3,CS,broad,H,25,13.847999999999999,0.52,16.5022,412.55499999999995
IT,Lo,ITC4,CS,broad,H,25,9.948,0.53,12.082675,302.066875
IT,Ma,ITI3,CS,broad,H,45,0.044444444444444446,1.01,0.10287037037037038,4.629166666666667
IT,Pi,ITC1,CS,broad,H,25,6.4239999999999995,0.56,8.244133333333334,206.10333333333335
IT,Sa,ITG2,CS,broad,H,25,1.564,0.64,2.2938666666666667,57.34666666666667
IT,To,ITI1,CS,broad,H,25,4.268,0.58,5.672883333333333,141.82208333333332
IT,Ve,ITH3,CS,broad,H,25,5.192,0.57,6.78205,169.55125
