NUTS2,weighted_YL_(t/ha)
ES24,21.44089095496114
ES30,32.04197139336483
ES70,0.0
DE22,32.4135708022331
BG31,12.11100858106139
FI19,12.214944361895505
RS21,0.0
BE35,17.524981431712167
DEB3,32.4135708022331
DE11,32.4135708022331
CZ04,15.307390080238934
ES51,19.94839883531146
ES23,20.56890643804698
CZ07,15.307390080238934
FRB0,15.920486985516547
RO21,9.53391323754951
SE11,0.0
SE12,11.120304894741372
ITH4,15.994946193136828
MK00,0.0
PT17,5.880301130351637
PT16,6.104988791248492
PL22,18.95754467463447
SE21,15.0981802797825
LU00,23.873409997520902
PL61,21.281900328607996
PL41,23.87763113710246
LV00,0.0
RS12,8.093984260032434
PL62,14.107135579196616
FRI2,19.236423410223868
PL42,11.16265530229134
PL51,17.69383177064394
PL52,24.240481233481447
PL71,27.180099927839247
RS22,0.0
LT02,19.375815352951406
FRI3,20.59247369206883
PT18,7.842457795192712
SI04,26.11989961623406
PL63,15.1871638318285
PL43,12.218032862008185
PT15,10.673348962005898
ME00,5.071084365212809
NL12,0.0
NL13,0.0
PL92,24.790870892754942
RO31,12.97016791889136
ITI1,29.475728233765405
ITI2,20.418384083071473
NL11,0.0
ITH5,54.94655811852362
NL41,0.0
NL42,0.0
FRD2,30.60663555524895
DE40,32.4135708022331
EE00,0.0
ITG1,0.0
RO22,12.397212796687786
PL72,17.303851453090306
EL51,34.763517533315174
DE26,32.4135708022331
NL22,0.0
DK03,67.77899496054198
DE93,32.4135708022331
PT11,7.066260421616807
DE94,32.4135708022331
EL41,0.0
EL62,0.0
RO12,11.633764651042886
EL63,12.477611638478857
EL61,27.69008122177044
DEA5,32.4135708022331
PL82,11.589879140959187
DE24,32.4135708022331
DEB2,32.4135708022331
PL81,25.755125892074474
ITI4,12.582756120568572
DE91,32.4135708022331
EL52,17.526193019160807
EL42,0.0
DE80,32.4135708022331
DK04,67.16806112961305
ITH3,31.729489402906154
RO11,9.888932870548171
NL34,0.0
DK05,65.34508957051902
DE23,32.4135708022331
DEA3,32.4135708022331
PT20,0.0
PT30,0.0
PL21,14.547424901950311
ITH2,59.12266033366219
DE27,32.4135708022331
DE71,32.4135708022331
DE73,32.4135708022331
DE92,32.4135708022331
FRD1,28.73251785474676
DEB1,32.4135708022331
UKG1,0.0
UKL2,0.0
UKM5,0.0
UKM6,0.0
UKF3,0.0
UKK3,0.0
SK03,9.512950347098428
UKM8,0.0
FRE2,28.458406807314145
SK04,7.407526538189214
UKM9,0.0
ITF5,14.628129243050694
ITF6,17.662832007619087
SK02,12.761442536826475
FRK2,11.904738457386252
FRM0,8.78713424271241
FRF1,23.846839730145422
SE23,14.910039343508537
FRE1,35.42791665094099
UKJ1,0.0
HU22,15.436159158227767
ITC3,14.997859601111061
UKM7,0.0
HR02,19.012239536997882
FRY4,42.84389005266314
FRY5,15.053655660377359
PL84,20.577524967702928
FRJ2,15.451818496757802
MT00,6.284926470588235
NL23,0.0
NL31,0.0
NL32,0.0
HU31,5.845424204660626
RO32,12.97016791889136
RS11,5.797627961328021
ITC2,0.0
NL33,0.0
ITF1,17.23884953080646
HR03,5.507093179880046
IE06,0.0
UKG2,0.0
ITF2,14.469356337611554
PL91,20.65111241093028
FRG0,21.746036592380086
RO41,9.178735287748909
ITC4,60.32234742179733
ITF3,47.675756087720984
ITC1,23.599292971927255
HU23,11.327797671871085
UKH3,0.0
FRY3,7.855285105025595
RO42,7.941592904237196
FRF2,26.984547681591433
HU12,7.782716586512147
UKL1,0.0
FRL0,16.956800362623532
IS00,0.0
FRY1,19.566666666666666
FRY2,25.82622506080263
FRI1,22.23668540921101
FRF3,18.57310628893867
FRC2,12.270681947725071
HU11,5.594749678218652
ITI3,14.580417348974587
LI00,28.01026488211597
FRK1,15.619260976453846
FRC1,10.550467349660456
LT01,19.375815352951406
NL21,0.0
FRJ1,6.003241209610849
SE33,0.0
UKN0,0.0
ITF4,0.0
IE04,0.0
IE05,0.0
UKC1,0.0
UKH2,0.0
UKE3,0.0
SK01,6.957436494673385
UKJ3,0.0
HU21,12.55000398026205
SI03,22.841205328472707
UKC2,0.0
SE31,10.497392610034789
FRH0,23.64709892807736
UKG3,0.0
UKD6,0.0
UKD7,0.0
UKH1,0.0
SE32,0.0
UKI7,0.0
UKI3,0.0
