NUTS2,energy_yields_(MWh/ha)
UKK2,39.95088958256225
SE22,37.90341311564259
UKE1,39.95088958256225
UKJ2,39.95088958256225
TR82,0.0
TRC2,32.48181065046296
TRC3,0.0
TR81,0.0
TRB2,0.0
TR83,32.011764535512825
TR90,0.0
TR71,39.171062409382344
TRC1,44.089352197916675
TRA2,0.0
TRB1,38.26144932118056
TRA1,0.0
TR63,35.84823902025464
TR72,34.371890063526266
NO02,0.0
TR61,32.805870319444445
TR62,0.0
HR06,33.66630124849357
NO06,0.0
NO07,0.0
TR33,36.008545133101855
TR41,38.46126655505856
TR21,41.41068876388889
TR42,0.0
TR22,37.93566593055556
TR31,0.0
TR10,28.958523611111115
NO08,0.0
TR32,30.196500495486116
NO09,0.0
NO0A,0.0
TR51,36.33477934323363
TR52,40.202966153485015
HR05,0.0
NO0B,0.0
