NUTS2,"Bioethanol barley, wheat, grain maize, oats, other cereals and rye",Sugar from sugar beet,Rape seed,perennials
DEB3,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEC0,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DED2,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DED4,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DED5,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEE0,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEF0,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DEG0,12.090427338562622,42.55532699005573,13.768167314940333,12.58449213459838
DK01,10.628493404633161,42.03616375492675,16.485987023281414,25.80236476426799
DK02,10.95071817370472,42.03616375492675,17.47030653243567,26.234658159463486
DK03,9.726450024023153,41.05387838368056,16.68530310136045,23.72264823618969
