NUTS2,energy_yields_(MWh/ha)
HU11,7.477996929314987
ITI3,8.851134221598965
LI00,5.78074968037048
FRK1,0.0
FRC1,9.773675736544456
LT01,9.937259338317807
NL21,12.671719095623494
FRJ1,0.0
SE33,0.0
UKN0,0.0
ITF4,7.403962232545073
IE04,12.76458312630428
IE05,16.986871616369047
UKC1,0.0
UKH2,0.0
UKE3,0.0
SK01,7.469060413560289
UKJ3,0.0
HU21,7.4740248545162675
SI03,6.569342201489683
UKC2,0.0
SE31,8.18003796662343
FRH0,14.530433399712045
UKG3,0.0
UKD6,0.0
UKD7,0.0
UKH1,0.0
SE32,0.0
UKI7,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKE4,0.0
HU32,10.576986070726115
HU33,7.781882173389834
UKE2,0.0
