NUTS2,YL
ITF3,18.930471241769016
ITC1,9.982087127093395
HU23,5.649673856909926
UKH3,0.0
FRY3,5.1461538461538465
RO42,4.043331146325054
FRF2,10.703512899265423
HU12,4.204919772493043
UKL1,0.0
FRL0,7.831327344261013
IS00,0.9359
FRY1,7.6125
FRY2,10.035043103448276
FRI1,8.533554544612256
FRF3,8.267351875613528
FRC2,7.009411829051243
HU11,4.000739363315862
ITI3,9.92314521829345
LI00,10.932791241239604
FRK1,7.86260306534531
FRC1,6.008041330282402
LT01,8.404326502679455
NL21,0.0
FRJ1,4.1299095843676685
SE33,3.1004542395297947
UKN0,0.0
ITF4,2.2410463759312442
IE04,0.0
IE05,0.0
UKC1,0.0
UKH2,0.0
UKE3,0.0
SK01,3.5469381057580223
UKJ3,0.0
HU21,6.1039080591829915
