NUTS_ID,affo rate (t/ha),Source,NUTS1
SE12,29.08172229910889,direct,SE1
SE21,28.1976305121983,direct,SE2
SE22,35.55366838835311,direct,SE2
SE23,30.43258045179304,direct,SE2
SE31,18.96545606757958,direct,SE3
SE32,15.49548568101432,direct,SE3
SE33,10.60991223300169,direct,SE3
SI03,21.00869977666473,direct,SI0
SI04,19.50357087527552,direct,SI0
SK01,22.76962334040884,direct,SK0
SK02,21.09800372991225,direct,SK0
SK03,22.70702542971642,direct,SK0
SK04,21.76403118840648,direct,SK0
TR10,33.98609287855594,avg nuts0 (from NUTS2),TR1
TR21,33.98609287855594,avg nuts2 near,TR2
TR22,33.98609287855594,avg nuts0 (from NUTS2),TR2
TR31,33.98609287855594,avg nuts0 (from NUTS2),TR3
TR32,33.98609287855594,avg nuts0 (from NUTS2),TR3
TR33,33.98609287855594,avg nuts0 (from NUTS2),TR3
TR41,33.98609287855594,avg nuts0 (from NUTS2),TR4
TR42,33.98609287855594,avg nuts0 (from NUTS2),TR4
TR51,33.98609287855594,avg nuts0 (from NUTS2),TR5
TR52,33.98609287855594,avg nuts0 (from NUTS2),TR5
TR61,33.98609287855594,avg nuts0 (from NUTS2),TR6
TR62,33.98609287855594,avg nuts0 (from NUTS2),TR6
TR63,33.98609287855594,avg nuts0 (from NUTS2),TR6
TR71,33.98609287855594,avg nuts0 (from NUTS2),TR7
TR72,33.98609287855594,avg nuts0 (from NUTS2),TR7
TR81,33.98609287855594,avg nuts0 (from NUTS2),TR8
TR82,33.98609287855594,avg nuts0 (from NUTS2),TR8
TR83,33.98609287855594,avg nuts0 (from NUTS2),TR8
TR90,33.98609287855594,avg nuts0 (from NUTS2),TR9
TRA1,33.98609287855594,avg nuts0 (from NUTS2),TRA
TRA2,33.98609287855594,avg nuts0 (from NUTS2),TRA
TRB1,33.98609287855594,avg nuts0 (from NUTS2),TRB
TRB2,33.98609287855594,avg nuts0 (from NUTS2),TRB
TRC1,33.98609287855594,avg nuts0 (from NUTS2),TRC
TRC2,33.98609287855594,avg nuts0 (from NUTS2),TRC
TRC3,33.98609287855594,avg nuts0 (from NUTS2),TRC
UKC1,34.80997533458953,nearest within UK,UKC
UKC2,34.80997533458953,nearest within UK,UKC
UKD1,34.80997533458953,nearest within UK,UKD
UKD3,34.80997533458953,nearest within UK,UKD
UKD4,34.80997533458953,nearest within UK,UKD
UKD6,34.80997533458953,nearest within UK,UKD
UKD7,34.80997533458953,nearest within UK,UKD
UKE1,34.80997533458953,nearest within UK,UKE
UKE2,34.80997533458953,nearest within UK,UKE
UKE3,34.80997533458953,nearest within UK,UKE
UKE4,34.80997533458953,nearest within UK,UKE
UKF1,34.80997533458953,nearest within UK,UKF
UKF2,34.80997533458953,nearest within UK,UKF
UKF3,34.80997533458953,nearest within UK,UKF
UKG1,34.80997533458953,nearest within UK,UKG
UKG2,34.80997533458953,nearest within UK,UKG
UKG3,34.80997533458953,nearest within UK,UKG
UKH1,34.80997533458953,nearest within UK,UKH
UKH2,34.80997533458953,nearest within UK,UKH
UKH3,34.80997533458953,nearest within UK,UKH
UKI3,34.80997533458953,nearest within UK,UKI
UKI4,34.80997533458953,nearest within UK,UKI
UKI5,34.80997533458953,nearest within UK,UKI
UKI6,34.80997533458953,nearest within UK,UKI
UKI7,34.80997533458953,nearest within UK,UKI
UKJ1,34.80997533458953,nearest within UK,UKJ
UKJ2,34.80997533458953,nearest within UK,UKJ
UKJ3,34.80997533458953,nearest within UK,UKJ
UKJ4,34.80997533458953,nearest within UK,UKJ
UKK1,34.80997533458953,nearest within UK,UKK
UKK2,34.80997533458953,nearest within UK,UKK
UKK3,34.80997533458953,nearest within UK,UKK
UKK4,34.80997533458953,nearest within UK,UKK
UKL1,34.80997533458953,nearest within UK,UKL
UKL2,34.80997533458953,nearest within UK,UKL
UKM2,34.80997533458953,nearest within UK,UKM
UKM3,34.80997533458953,nearest within UK,UKM
UKM5,34.80997533458953,nearest within UK,UKM
UKM6,34.80997533458953,nearest within UK,UKM
UKN0,34.80997533458953,avg nuts2 near,UKN
